Code	Mouse_ID	Family	Sex	Treatment	Treatment_for_plotting	Diaphragm_Mass_mg	Weight_g	Diaphragm_perc_body_mass	VO2max_mL_per_g_per_min	Arteria_O2_perc	Hear_rate_bpm	Breathing_frequency_breath_per_min	Tidal volume_ul_per_g	Total _ventilation_ml_per_g_per_min	Air_convection_requirement_ml_air_per_ml_O2	Pulmonary_extraction_perc	Breathing_frequency_breath_per_min_8kPa	Tidal volume_ul_per_g_8kPa	Total _ventilation_ml_per_g_per_min_8kPa	Breathing_frequency_breath_per_min_12kPa	Tidal volume_ul_per_g_12kPa	Total _ventilation_ml_per_g_per_min_12kPa	Breathing_frequency_breath_per_min_21kPa	Tidal volume_ul_per_g_21kPa	Total _ventilation_ml_per_g_per_min_21kPa
AH10	ME_F2_209_2l	209	F	Adult acclimation	4.AH	68.3	17.02	0.401292597	0.227972021	87.31414141	604.7676768	335.9935655	12.64980532	4.250253193	18.64374923	43.76302509	199.804535	13.70992798	2.739305786	133.618545	17.50897938	2.339524349	115.2392441	15.79156215	1.819807684
AH1	ME_F2_63_ai	63	F	Adult acclimation	4.AH	97.6	21.85	0.446681922	0.177363385	92.26285714	536.31	369.6584996	20.35250369	7.523475976	42.41842798	19.59260402	288.1522321	9.180491502	2.645379118	231.5994326	11.1510077	2.582567055	182.0962414	12.71439276	2.315243133
AH2	ME_F2_63_aj	63	F	Adult acclimation	4.AH	87	25.96	0.335130971	0.141078694	94.392	477.87	354.9943459	13.14741262	4.667257143	33.08265066	25.20415668	210.9294077	9.640199416	2.033401553	185.8998123	12.97384266	2.411834915	164.9851656	15.92036445	2.626623966
AH3	ME_F2_63_am	63	M	Adult acclimation	4.AH	74.9	36.15	0.207192254	0.149334396	86.18923077	531.7538462	492.7609805	8.485675352	4.181409707	28.00031225	29.76941076	309.4568698	6.732865851	2.083531591	214.7797479	9.083136902	1.950873854	156.5819222	12.35113447	1.933964376
AH4	ME_F2_63_ao	63	M	Adult acclimation	4.AH	96.4	29.49	0.326890471	0.170028567	90.641	568.4020619	365.6237005	16.2226554	5.931387301	34.88465152	23.80557598	269.0837943	8.351849549	2.247347366	259.3454756	11.21954358	2.909737866	212.569952	14.1961911	3.01768366
AH5	ME_F2_64_ag	64	M	Adult acclimation	4.AH	107	24.45	0.437627812	0.12506672	87.775	453.37	350.8785698	9.350279472	3.280812688	26.23249964	31.8315688	256.8841716	6.734578298	1.730006567	170.6732617	12.80483278	2.185442576	138.1301522	15.59668093	2.154371911
AH6	ME_F2_64_ah	64	M	Adult acclimation	4.AH	102	22.8	0.447368421	0.176923075	87.629	484.29	413.266664	14.55721977	6.016013651	34.00355587	24.43416422	253.122421	14.95660678	3.785852517	153.3265849	16.23480603	2.489227365	138.2181408	15.43563922	2.133485355
AH7	ME_F2_209_a	209	M	Adult acclimation	4.AH	80.5	18.73	0.429791778	0.194152218	92.58076923	552.6730769	407.6312643	11.56929779	4.716007486	24.29025814	33.78756873	241.7127214	9.240813912	1.688182783	153.8688027	13.61853457	1.583764798	152.9344713	14.24784882	1.64688934
AH8	ME_F2_209_2b	209	M	Adult acclimation	4.AH	70.3	20.81	0.337818357	0.177034267	91.662	606.040404	429.8676986	11.37409947	4.889357964	28.48035609	28.82954843	293.4564847	7.710497082	2.17490989	190.1646341	8.206670279	1.500071353	114.566062	11.05910264	1.217842299
AH9	ME_F2_209_f	209	F	Adult acclimation	4.AH	74	18.04	0.410199557	0.184292442	89.906	504.26	368.1088127	13.56719048	4.99420238	27.09933363	30.34400957	247.5333813	10.90305929	1.648865218	154.3428833	15.03413299	1.417646682	128.5058471	15.99998188	1.25616124
LH1	ME_F2_63_ax	63	M	Life-long hypoxia	2.LH	84	22.08	0.380434783	0.240281364	84.98214286	526.8095238	433.8292073	21.64311089	9.38941364	39.07674521	21.4386719	342.6878865	8.280302515	2.837559369	301.8871883	11.44635953	3.455509294	175.8774755	11.9907999	2.108911616
LH2	ME_F2_63_ay	63	M	Life-long hypoxia	2.LH	104.5	30.41	0.343636962	0.178661006	91.80425532	607.48	431.2928196	11.75274569	5.068874828	28.37146689	29.44412589	341.441615	9.384327819	3.204200046	249.2165099	11.11674404	2.770476151	200.133762	15.9001377	3.182154373
LH3	ME_F2_63_az	63	M	Life-long hypoxia	2.LH	103.8	24.14	0.429991715	0.188039623	91.579	565.42	454.0376821	25.36704856	11.51759593	61.25089883	13.53543672	261.4468823	9.990636721	2.612020823	145.916474	13.77237787	2.009616818	156.4888294	14.72395555	2.304134568
LH4	ME_F2_64_as	64	F	Life-long hypoxia	2.LH	64.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	321.7545806	17.0418891	5.483305879	204.4503608	18.26936314	3.735177887	203.9142809	23.25084851	4.741180056
LH5	ME_F2_64_aw	64	M	Life-long hypoxia	2.LH	93.4	22.13	0.422051514	0.222056583	97.851	643.32	432.2334653	21.99987127	9.509080594	42.82278183	19.40866604	218.8509521	10.33370191	2.261540501	127.7328386	15.69785633	2.005131749	111.819034	16.51607345	1.846811379
LH6	ME_F2_64_ax	64	M	Life-long hypoxia	2.LH	77.2	23.59	0.327257312	0.152409271	88.1	561.7906977	391.0350692	16.43155226	6.425313175	42.15828297	19.82492034	262.3940316	8.507270539	2.232257015	107.5651389	12.14430331	1.306303672	104.5202937	16.45448231	1.719827324
LH7	ME_F2_209_m	209	F	Life-long hypoxia	2.LH	45.3	13.42	0.337555887	0.189324467	86.893	546.67	380.5831012	18.31425503	6.970095975	36.81561133	22.24877014	225.2418692	10.03349405	2.259962956	134.1388387	11.06778083	1.484619267	80.647734	12.48275559	1.006705952
LH8	ME_F2_209_3q	209	M	Life-long hypoxia	2.LH	90.5	25.79	0.350911206	0.167787932	86.762	467.71	337.1854183	14.03380707	4.731995106	28.2022375	29.09778924	248.2611062	8.105400848	2.417841902	106.9890484	10.48959725	1.348474861	72.71139001	12.495646	1.09170645
N10	ME_F2_209_h	209	M	Control	1.C	63.4	23.08	0.274696707	0.136498143	84.74878049	438.14	405.3347851	12.13672289	4.919435962	36.04031427	22.7110796	278.6575418	8.785454892	2.448133264	192.9164722	10.43573871	2.013225897	203.0390574	10.41535726	2.11472432
N11	ME_F2_209_i	209	F	Control	1.C	68.9	27.9	0.246953405	0.126023869	79.845	524.59	339.9188888	9.550150266	3.246276466	25.75921915	31.67486994	243.7969755	7.374962717	1.950492873	182.5538758	9.718194788	1.924566325	159.614964	13.26002842	2.29601269
N12	ME_F2_209_2j	209	F	Control	1.C	68.5	22.76	0.300966608	0.117319818	82.95625	492.5	387.7811203	9.962427964	3.863241476	32.92914665	25.30907666	247.851489	8.688031462	2.153341534	221.3134513	8.581439161	1.899187918	162.6778861	9.631649065	1.56685631
N1	ME_F2_63_an	63	F	Control	1.C	93.8	26.76	0.350523169	0.17164155	77.362	451.86	415.0878651	9.503321582	3.944713467	22.98227598	36.35417687	354.6573936	5.483307701	1.944695617	229.0623843	10.64532256	2.438442967	170.3619488	10.90416428	1.857654677
N2	ME_F2_63_aq	63	M	Control	1.C	86.5	19.6	0.441326531	0.113794676	87.1974359	422.9487179	341.3198106	11.74084898	4.007384351	35.21592138	23.978522	389.8616809	6.542859939	2.550810374	243.9778022	10.33745696	2.52211003	147.9469304	12.61768595	1.866747905
