Sample_Name	group	group2	perc_dups_fastqc	mean_quality_score	perc_bases_above_q30	perc_gc	 reads 	align_rate	assign_rate
N10	controls	controls	74.6	37.1	87.69	42	27228376	85.83	66.31
N11	controls	controls	77.1	37.24	88.24	42	34670655	81.95	62.63
N12	controls	controls	73.3	37.25	88.25	42	45298268	84.2	60.75
N1	controls	controls	68.8	35.16	80.19	31	33216000	78.37	15.67
N2	controls	controls	68	35.15	80.15	32	34267761	77.62	17.04
N3	controls	controls	68.3	36.59	85.69	41	32394085	77.81	49.16
N4	controls	controls	69.4	37.01	87.36	42	26373280	84.52	61.18
N5	controls	controls	54.5	36.18	84.13	38	44062574	81.11	20.62
N6	controls	controls	70.7	36.95	87.12	41	34199118	84.23	57.87
N7	controls	controls	79.4	37.01	87.33	41	36602343	83.03	64.14
N8	controls	controls	78.9	37.13	87.77	42	57866043	79.67	60.51
N9	controls	controls	70.3	37.26	88.33	46	28802907	89.46	67.81
AH6	others	others	75.3	37.22	88.23	41	30291707	86.23	65.7
AH7	others	others	69.4	37.29	88.47	39	29302167	85.94	63.9
AH8	others	others	71.7	37.17	88.05	41	29439902	86.13	65.3
AH9	others	others	74.6	37.35	88.64	39	30550451	86.76	65.7
AH10	others	others	74.6	37.35	88.67	40	30591702	88.08	69
LH1	others	others	59.7	37.34	88.65	43	29834332	85.29	53.6
LH2	others	others	64.1	37.16	88.03	43	30280189	85.51	59.5
LH4	others	others	68.8	37.47	89.14	40	27343598	86.96	63.3
LH5	others	others	71	37.31	88.55	41	28314912	86.1	66
LH6	others	others	70.7	37.3	88.55	41	27206105	85.52	62.7
LH7	others	others	74.7	37.17	88.07	42	25661446	86.86	69.6
LH8	others	others	71.7	37.38	88.81	40	27477065	87.57	70.2
PNH1	others	others	48.8	37.43	89.02	41	29571824	86.12	48.4
PNH2	others	others	56.2	37.42	88.97	42	27770065	83.76	49.5
PNH3	others	others	60.9	37.35	88.77	42	29432385	86.75	58
PNH4	others	others	70	37.45	89.1	41	26244008	86.77	64.6
PNH5	others	others	68.2	37.34	88.68	39	31430760	86.97	61.3
PNH7	others	others	79	37.27	88.4	41	27743922	87.1	69.6
PNH8	others	others	78.7	37.19	88.09	40	27775272	85.78	68.8
PNH9	others	others	78.1	37.37	88.77	39	30539477	86.09	69.5
AH1	previous_outliers	others	17.9	37.57	89.58	42	20931727	88.88	27.1
AH2	previous_outliers	others	19.3	37.52	89.36	42	28885404	88.82	28.2
AH3	previous_outliers	others	23.6	37.4	89.02	41	31381199	87.83	27.7
AH4	previous_outliers	others	27.7	37.48	89.24	42	28398931	86.56	30.4
AH5	previous_outliers	others	20.6	37.49	89.31	41	31907784	87.47	26
LH3	previous_outliers	others	66	37.25	88.34	42	29683090	83.91	56.6
PNH6	previous_outliers	others	77.2	37.26	88.34	41	29751916	84.82	65.7
