gene_pman	gene_mus
A1bg	A1bg
Aasdhppt	Aasdhppt
Aass	Aass
Abca5	Abca5
Abcb7	Abcb7
Abcc1	Abcc1
Abcc10	Abcc10
Abcc2	Abcc2
Abcd1	Abcd1
Abcg4	Abcg4
Abhd18	Abhd18
Abhd3	Abhd3
Abhd6	Abhd6
Abi1	Abi1
Acad8	Acad8
Acad9	Acad9
Acd	Acd
Acox2	Acox2
Acox3	Acox3
Acp5	Acp5
Acsl4	Acsl4
Acsl5	Acsl5
Actl6a	Actl6a
Actrt3	Actrt3
Ada	Ada
Adad1	Adad1
Adamts15	Adamts15
Adamts8	Adamts8
Adcy8	Adcy8
Adgrf4	Adgrf4
Adgrf5	Adgrf5
Adgrg4	Adgrg4
Adk	Adk
Aff2	Aff2
Agap2	Agap2
Agtr1	Agtr1b
Agtr2	Agtr2
Ak6	Ak6
Akt3	Akt3
Alg13	Glt28d2
Alg5	Alg5
Alkbh8	Alkbh8
Alms1	Alms1
Angel2	Angel2
Angpt1	Angpt1
Angptl4	Angptl4
Angptl5	Angptl5
Angptl6	Angptl6
Angptl8	Angptl8
Ankk1	Ankk1
Ankrd13c	Ankrd13c
Ankrd50	Ankrd50
Ankrd52	Ankrd52
Ankrd54	Ankrd54
Ankrd60	Ankrd60
Anln	Anln
Ano4	Ano4
Antxr1	Antxr1
Anxa4	Anxa4
Anxa5	Anxa5
Anxa7	Anxa7
Aoah	Aoah
Ap1m2	Ap1m2
Ap3b1	Ap3b1
Ap3m1	Ap3m1
Apbb3	Sra1
Apcdd1l	Apcdd1l
Aplp2	Aplp2
Apoa1	Apoa1
Apoa4	Apoa4
Apoa5	Apoa5
Apobec2	Apobec2
Apoc3	Apoc3
Apof	Apof
Apool	Apool
Appl1	Appl1
Ar	Ar
Arcn1	Arcn1
Arhgap32	Arhgap32
Arhgap36	Arhgap36
Arhgap4	Arhgap4
Arhgap42	Arhgap42
Arhgap9	Arhgap9
Arhgef12	Arhgef12
Arhgef25	Arhgef25
Arhgef26	Arhgef26
Arhgef6	Arhgef6
Armc1	Armc1
