Gene stable ID,Gene stable ID version,Mouse gene stable ID,Mouse gene name,Chromosome/scaffold name,Gene name
39105332,,ENSMUSG00000064357,mt-Atp6,NC_039921.1,ATP6
39105361,,ENSMUSG00000064356,mt-Atp8,NC_039921.1,ATP8
39105350,,ENSMUSG00000064351,mt-Co1,NC_039921.1,COX1
39105364,,ENSMUSG00000064354,mt-Co2,NC_039921.1,COX2
39105355,,ENSMUSG00000064358,mt-Co3,NC_039921.1,COX3
39105360,,ENSMUSG00000064370,mt-Cytb,NC_039921.1,CYTB
39105338,,ENSMUSG00000064341,mt-Nd1,NC_039921.1,ND1
39105351,,ENSMUSG00000064345,mt-Nd2,NC_039921.1,ND2
39105344,,ENSMUSG00000064360,mt-Nd3,NC_039921.1,ND3
39105337,,ENSMUSG00000064363,mt-Nd4,NC_039921.1,ND4
39105356,,ENSMUSG00000065947,mt-Nd4l,NC_039921.1,ND4L
39105353,,ENSMUSG00000064367,mt-Nd5,NC_039921.1,ND5
39105346,,ENSMUSG00000064368,mt-Nd6,NC_039921.1,ND6
39105342,,ENSMUSG00000064337,mt-Rnr1,NC_039921.1,RNR1
39105334,,ENSMUSG00000064339,mt-Rnr2,NC_039921.1,RNR2
39105333,,ENSMUSG00000064347,mt-Ta,NC_039921.1,trnA
39105345,,ENSMUSG00000064349,mt-Tc,NC_039921.1,trnC
39105352,,ENSMUSG00000064353,mt-Td,NC_039921.1,trnD
39105336,,ENSMUSG00000064369,mt-Te,NC_039921.1,trnE
39105349,,ENSMUSG00000064336,mt-Tf,NC_039921.1,trnF
39105358,,ENSMUSG00000064359,mt-Tg,NC_039921.1,trnG
39105347,,ENSMUSG00000064364,mt-Th,NC_039921.1,trnH
39105340,,ENSMUSG00000064342,mt-Ti,NC_039921.1,trnI
39105339,,ENSMUSG00000064355,mt-Tk,NC_039921.1,trnK
39105359,,ENSMUSG00000064340,mt-Tl1,NC_039921.1,trnL1
39105363,,ENSMUSG00000064366,mt-Tl2,NC_039921.1,trnL2
39105335,,ENSMUSG00000064344,mt-Tm,NC_039921.1,trnM
39105343,,ENSMUSG00000064348,mt-Tn,NC_039921.1,trnN
39105366,,ENSMUSG00000064372,mt-Tp,NC_039921.1,trnP
39105354,,ENSMUSG00000064343,mt-Tq,NC_039921.1,trnQ
39105348,,ENSMUSG00000064361,mt-Tr,NC_039921.1,trnR
39105341,,ENSMUSG00000064352,mt-Ts1,NC_039921.1,trnS1
39105357,,ENSMUSG00000064365,mt-Ts2,NC_039921.1,trnS2
39105330,,ENSMUSG00000064371,mt-Tt,NC_039921.1,trnT
39105331,,ENSMUSG00000064338,mt-Tv,NC_039921.1,trnV
39105362,,ENSMUSG00000064346,mt-Tw,NC_039921.1,trnW
39105365,,ENSMUSG00000064350,mt-Ty,NC_039921.1,trnY
ENSPEMG00000030530,ENSPEMG00000030530.1,,,1,
ENSPEMG00000017599,ENSPEMG00000017599.2,ENSMUSG00000054662,Ano9,1,Ano9
ENSPEMG00000007209,ENSPEMG00000007209.2,,,5,U6
ENSPEMG00000003488,ENSPEMG00000003488.2,ENSMUSG00002075291,7SK,23,7SK
ENSPEMG00000011566,ENSPEMG00000011566.2,ENSMUSG00000029032,Arhgef16,2,Arhgef16
ENSPEMG00000002363,ENSPEMG00000002363.2,ENSMUSG00002076045,5S_rRNA,5,5S_rRNA
ENSPEMG00000002363,ENSPEMG00000002363.2,ENSMUSG00002075988,5S_rRNA,5,5S_rRNA
ENSPEMG00000004420,ENSPEMG00000004420.2,,,1,
ENSPEMG00000024287,ENSPEMG00000024287.1,ENSMUSG00000010307,Tmem86a,1,Tmem86a
ENSPEMG00000028992,ENSPEMG00000028992.1,,,22,
ENSPEMG00000004533,ENSPEMG00000004533.2,,,9,5S_rRNA
ENSPEMG00000001773,ENSPEMG00000001773.2,ENSMUSG00000027481,Bpifb2,4,Bpifb2
ENSPEMG00000015322,ENSPEMG00000015322.2,ENSMUSG00000040857,Erf,1,Erf
ENSPEMG00000026226,ENSPEMG00000026226.1,ENSMUSG00000037529,Prss40,21,
ENSPEMG00000008007,ENSPEMG00000008007.2,ENSMUSG00000054435,Gimap4,3,
ENSPEMG00000020007,ENSPEMG00000020007.2,ENSMUSG00000026497,Mixl1,11,Mixl1
ENSPEMG00000025712,ENSPEMG00000025712.1,,,10,
ENSPEMG00000019493,ENSPEMG00000019493.2,,,5,
ENSPEMG00000023893,ENSPEMG00000023893.2,ENSMUSG00000042477,Tfap2e,2,Tfap2e
ENSPEMG00000019209,ENSPEMG00000019209.2,ENSMUSG00000040325,Dcaf1,7,
ENSPEMG00000010082,ENSPEMG00000010082.2,ENSMUSG00000026427,Eif2d,11,Eif2d
ENSPEMG00000023755,ENSPEMG00000023755.2,ENSMUSG00000045917,Tmem268,2,Tmem268
ENSPEMG00000019397,ENSPEMG00000019397.2,ENSMUSG00000041660,Bbox1,4,Bbox1
ENSPEMG00000023339,ENSPEMG00000023339.2,ENSMUSG00000021279,Cdc42bpb,14,Cdc42bpb
ENSPEMG00000009252,ENSPEMG00000009252.2,ENSMUSG00000103124,Gm37389,2,
ENSPEMG00000009252,ENSPEMG00000009252.2,ENSMUSG00000027528,Fabp9,2,
ENSPEMG00000024874,ENSPEMG00000024874.1,ENSMUSG00000073906,Olfr692,1,Olfr692
ENSPEMG00000019250,ENSPEMG00000019250.2,ENSMUSG00000050410,Tcf19,21,Tcf19
ENSPEMG00000030800,ENSPEMG00000030800.1,ENSMUSG00000094496,Olfr792,18,
ENSPEMG00000030800,ENSPEMG00000030800.1,ENSMUSG00000095002,Olfr798,18,
ENSPEMG00000027779,ENSPEMG00000027779.1,,,12,
ENSPEMG00000006032,ENSPEMG00000006032.2,ENSMUSG00000084714,Gm24631,16,U6
ENSPEMG00000019538,ENSPEMG00000019538.2,ENSMUSG00000000223,Drp2,X,Drp2
ENSPEMG00000023334,ENSPEMG00000023334.2,ENSMUSG00000027086,Fastkd1,4,Fastkd1
ENSPEMG00000024431,ENSPEMG00000024431.1,,,3,
ENSPEMG00000025675,ENSPEMG00000025675.1,,,13,SNORD26
ENSPEMG00000024231,ENSPEMG00000024231.2,ENSMUSG00000018401,Mtmr4,8,Mtmr4
ENSPEMG00000000289,ENSPEMG00000000289.2,ENSMUSG00000032295,Man2c1,7,Man2c1
ENSPEMG00000028538,ENSPEMG00000028538.1,,,6,
ENSPEMG00000015301,ENSPEMG00000015301.2,,,23,
ENSPEMG00000019142,ENSPEMG00000019142.2,ENSMUSG00000021675,F2rl2,15,F2rl2
ENSPEMG00000001847,ENSPEMG00000001847.2,ENSMUSG00000018661,Cog1,8,Cog1
ENSPEMG00000020087,ENSPEMG00000020087.2,ENSMUSG00000040896,Kcnd3,6,Kcnd3
ENSPEMG00000027041,ENSPEMG00000027041.1,ENSMUSG00000050164,Mchr1,20,Mchr1
